,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tateyama,JP,34.98,139.87,70.0,88,75,13.87,broken clouds
1,Ushuaia,AR,-54.8,-68.3,46.4,75,75,23.04,broken clouds
2,Cape Town,ZA,-33.93,18.42,64.99,82,75,16.11,broken clouds
3,Bethel,US,41.37,-73.41,53.01,100,1,4.74,clear sky
4,Gizo,SB,-8.1,156.84,84.65,67,63,1.1,light rain
5,Kuching,MY,1.55,110.33,82.4,83,40,3.36,scattered clouds
6,Tezu,IN,27.92,96.17,82.87,29,0,2.98,clear sky
7,Sao Filipe,CV,14.9,-24.5,78.44,78,74,5.82,broken clouds
8,Baculin,PH,7.45,126.58,81.23,78,100,3.47,light rain
9,Kapaa,US,22.08,-159.32,78.8,78,75,13.87,broken clouds
10,Saskylakh,RU,71.92,114.08,-4.49,91,100,3.31,overcast clouds
11,Nizhniy Ingash,RU,56.2,96.53,32.61,96,100,8.77,overcast clouds
12,Angoche,MZ,-16.23,39.91,86.68,49,100,12.5,overcast clouds
13,Biograd Na Moru,HR,43.94,15.45,53.01,93,0,1.12,clear sky
14,Hobart,AU,-42.88,147.33,59.0,58,75,17.22,shower rain
15,Santa Maria,BR,-29.68,-53.81,58.28,94,20,7.72,few clouds
16,Upernavik,GL,72.79,-56.15,-4.29,81,0,14.74,clear sky
17,Tuktoyaktuk,CA,69.45,-133.04,15.8,92,90,8.05,light snow
18,Beberibe,BR,-4.18,-38.13,80.6,78,75,12.75,broken clouds
19,Hithadhoo,MV,-0.6,73.08,83.89,66,98,3.0,overcast clouds
20,Albany,US,42.6,-73.97,51.01,61,1,5.19,clear sky
21,Teya,RU,60.38,92.63,28.89,96,100,4.92,overcast clouds
22,Kodiak,US,57.79,-152.41,28.4,92,1,9.17,clear sky
23,Mataura,NZ,-46.19,168.86,43.79,96,100,4.83,moderate rain
24,Hilo,US,19.73,-155.09,75.2,83,1,5.82,clear sky
25,Georgetown,MY,5.41,100.34,87.8,83,40,3.36,light rain
26,Kota Kinabalu,MY,5.97,116.07,89.6,75,20,6.93,few clouds
27,Jamestown,US,42.1,-79.24,53.6,62,1,5.82,clear sky
28,Jiaozhou,CN,36.28,120.0,68.0,25,0,11.18,clear sky
29,Kabompo,ZM,-13.59,24.2,88.54,40,0,2.13,clear sky
30,Chokurdakh,RU,70.63,147.92,3.07,95,100,9.24,light snow
31,Dumai,ID,1.68,101.45,91.87,54,100,0.96,moderate rain
32,Fukue,JP,32.69,128.84,68.0,72,75,6.93,broken clouds
33,Fianarantsoa,MG,-21.43,47.08,79.36,53,100,5.03,overcast clouds
34,New Norfolk,AU,-42.78,147.06,59.0,46,99,3.0,overcast clouds
35,Fort Saint James,CA,54.43,-124.25,26.83,91,0,4.43,clear sky
36,Muisne,EC,0.6,-80.03,74.3,81,98,3.76,overcast clouds
37,Hermanus,ZA,-34.42,19.23,66.99,53,0,10.0,clear sky
38,Cabo San Lucas,MX,22.89,-109.91,73.99,87,0,4.83,clear sky
39,Vaini,TO,-21.2,-175.2,75.2,78,20,5.82,few clouds
40,Ancud,CL,-41.87,-73.82,46.99,80,100,5.82,overcast clouds
